4gtv,#genre#
公視戲劇台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001555
古典音樂台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001539
台視,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001519
台視新聞台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001565
台視綜合台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001790
台視財經台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001791
國會頻道1,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001736
國會頻道2,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001735
大愛電視,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001538
寰宇新聞台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000002069
尼克兒童頻道,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001851
影迷數位電影台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001689
愛放 ifun 動漫台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001520
東森新聞台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001564
東森財經台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001563
東森購物頻道,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001509
民視台灣台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001579
民視影劇台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001551
民視新聞台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001533
民視無線台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001534
民視第一台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001535
民視綜藝台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001550
空中英語教室,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001553
罪案偵緝頻道,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000002019
華藝 MBC 綜合台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001825
華視,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001526
華視新聞資訊台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001569
華視新聞資訊台(免費),https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000002081
豬哥亮歌廳秀,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001548
達文西頻道,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001547
達文西頻道(免費),https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001900
采昌影劇台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001635
金光布袋戲,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001915
鏡電視新聞台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000002006
電影原聲台 CMusic,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001938
靖天日本台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001652
非凡商業台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001649
非凡新聞台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001650
龍華偶像,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001904
龍華偶像(免費),https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000002085
龍華影劇,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001542
龍華戲劇,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001839
龍華電影,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001840
